model_id,provider,repo_name,canonical_model_key,family,base_hint,unaligned,is_packaged,packaging_detected,quant_detected,created_at,last_modified,license,downloads,likes
DavidAU/Qwen3-18B-A3B-Stranger-Thoughts-Abliterated-Uncensored-GGUF,DavidAU,Qwen3-18B-A3B-Stranger-Thoughts-Abliterated-Uncensored-GGUF,qwen3-18b-a3b-stranger-thoughts-abliterated-uncensored,qwen,['davidau/qwen3-18b-a3b-stranger-thoughts-abliterated-uncensored'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-06-17 01:21:38+00:00,2025-06-28 08:12:47+00:00,,5292,8
DavidAU/Llama-3.2-4X3B-MOE-Hell-California-Uncensored-10B-GGUF,DavidAU,Llama-3.2-4X3B-MOE-Hell-California-Uncensored-10B-GGUF,llama-3-2-4x3b-moe-hell-california-10b,llama,['davidau/llama-3.2-4x3b-moe-hell-california-10b'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2024-12-12 01:30:01+00:00,2025-06-26 07:39:02+00:00,,5059,45
bartowski/Qwen2.5-14B_Uncensored_Instruct-GGUF,bartowski,Qwen2.5-14B_Uncensored_Instruct-GGUF,qwen2-5-14b-uncensored-instruct,qwen,sicariussicariistuff/qwen2.5-14b_uncensored_instruct,True,,gguf,"imatrix,iq2_m,iq3_m,iq3_xs,iq4_xs,q2_k,q2_k_l,q3_k_l,q3_k_m,q3_k_s,q3_k_xl,q4_0,q4_k_l,q4_k_m,q4_k_s,q5_k_l,q5_k_m,q5_k_s,q6_k,q6_k_l,q8_0",2024-09-22 22:26:11+00:00,2024-09-22 23:01:24+00:00,,4780,51
TheBloke/WizardLM-7B-uncensored-GGUF,TheBloke,WizardLM-7B-uncensored-GGUF,wizardlm-7b-uncensored,wizardlm,ehartford/wizardlm-7b-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-19 23:17:28+00:00,2023-09-27 12:52:40+00:00,,4720,35
TheBloke/Wizard-Vicuna-30B-Uncensored-GGUF,TheBloke,Wizard-Vicuna-30B-Uncensored-GGUF,wizard-vicuna-30b-uncensored,wizard,ehartford/wizard-vicuna-30b-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-19 23:02:39+00:00,2023-09-27 12:52:31+00:00,,4624,54
DavidAU/Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B-gguf,DavidAU,Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B-gguf,mistral-moe-4x7b-dark-multiverse-uncensored-enhanced32-24b,mistral,"['davidau/mistral-moe-4x7b-dark-multiverse-uncensored-enhanced32-24b', 'mistralai/mistral-7b-instruct-v0.3']",True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2024-12-26 11:22:27+00:00,2025-05-28 06:13:08+00:00,,4585,65
TheBloke/Wizard-Vicuna-13B-Uncensored-GPTQ,TheBloke,Wizard-Vicuna-13B-Uncensored-GPTQ,wizard-vicuna-13b-uncensored,wizard,ehartford/wizard-vicuna-13b-uncensored,True,,safetensors,"4-bit,gptq",2023-05-13 08:18:23+00:00,2023-09-27 12:44:18+00:00,,4538,320
mradermacher/DeepSeek-R1-Distill-Qwen-14B-Uncensored-GGUF,mradermacher,DeepSeek-R1-Distill-Qwen-14B-Uncensored-GGUF,deepseek-r1-distill-qwen-14b-uncensored,qwen,nicoboss/deepseek-r1-distill-qwen-14b-uncensored,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-01-25 01:35:17+00:00,2025-01-25 03:50:19+00:00,,4433,128
TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ,TheBloke,Wizard-Vicuna-7B-Uncensored-GPTQ,wizard-vicuna-7b-uncensored,wizard,ehartford/wizard-vicuna-7b-uncensored,True,,safetensors,"4-bit,gptq",2023-05-18 07:53:47+00:00,2023-09-27 12:44:19+00:00,,4321,163
John6666/Llama-3.1-8B-Lexi-Uncensored-V2-nf4,John6666,Llama-3.1-8B-Lexi-Uncensored-V2-nf4,llama-3-1-8b-lexi-uncensored-v2,llama,orenguteng/llama-3.1-8b-lexi-uncensored-v2,True,,safetensors,"4-bit,nf4",2024-10-13 07:57:16+00:00,2024-10-13 08:12:41+00:00,,3997,20
mradermacher/Judas-The-Uncensored-3.2-1B-GGUF,mradermacher,Judas-The-Uncensored-3.2-1B-GGUF,judas-the-uncensored-3-2-1b,judas,novaciano/judas-the-uncensored-3.2-1b,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-03-12 08:15:31+00:00,2025-07-11 10:11:29+00:00,,3990,
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B-GGUF,DavidAU,DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B-GGUF,deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,llama,['davidau/deepseek-moe-4x8b-r1-distill-llama-3.1-deep-thinker-uncensored-24b'],True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-02-10 09:06:29+00:00,2025-05-28 06:33:14+00:00,,3628,17
mradermacher/llama3.2_1b_2025_uncensored_v2-i1-GGUF,mradermacher,llama3.2_1b_2025_uncensored_v2-i1-GGUF,llama3-2-1b-2025-uncensored-v2,llama,carsenk/llama3.2_1b_2025_uncensored_v2,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-03-18 23:53:51+00:00,2025-07-11 08:47:38+00:00,,3588,1
mradermacher/Qwen2.5-1.5B-Uncensored_Neurotic_Spanish-GGUF,mradermacher,Qwen2.5-1.5B-Uncensored_Neurotic_Spanish-GGUF,qwen2-5-1-5b-uncensored-neurotic-spanish,qwen,novaciano/qwen2.5-1.5b-uncensored_neurotic_spanish,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-03-12 07:13:20+00:00,2025-07-11 10:12:58+00:00,,3560,3
stephenlzc/dolphin-llama3-zh-cn-uncensored,stephenlzc,dolphin-llama3-zh-cn-uncensored,dolphin-2-9-llama3-8b,llama,cognitivecomputations/dolphin-2.9-llama3-8b,True,,"gguf,safetensors","bf16,q4_k_m,q8_0",2024-06-21 10:31:07+00:00,2024-06-24 17:44:54+00:00,,3461,12
mradermacher/Gemma-3-4b-it-Uncensored-DBL-X-i1-GGUF,mradermacher,Gemma-3-4b-it-Uncensored-DBL-X-i1-GGUF,gemma-3-4b-it-uncensored-dbl-x,gemma,davidau/gemma-3-4b-it-uncensored-dbl-x,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-03-19 08:37:12+00:00,2025-07-11 08:44:02+00:00,,3333,2
bartowski/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF,bartowski,DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF,darkidol-llama-3-1-8b-instruct-1-2-uncensored,llama,aifeifei798/darkidol-llama-3.1-8b-instruct-1.2-uncensored,True,,"gguf,pt","imatrix,iq2_m,iq3_m,iq3_xs,iq4_xs,q2_k,q2_k_l,q3_k_l,q3_k_m,q3_k_s,q3_k_xl,q4_k_l,q4_k_m,q4_k_s,q5_k_l,q5_k_m,q5_k_s,q6_k,q6_k_l,q8_0",2024-08-01 21:51:32+00:00,2024-08-05 19:13:21+00:00,,3227,22
mradermacher/Dirty-Muse-Writer-v01-Uncensored-Erotica-NSFW-GGUF,mradermacher,Dirty-Muse-Writer-v01-Uncensored-Erotica-NSFW-GGUF,dirty-muse-writer-v01-uncensored-erotica-nsfw,dirty,mantis2024/dirty-muse-writer-v01-uncensored-erotica-nsfw,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-05-25 06:35:27+00:00,2025-07-11 02:03:01+00:00,,3117,2
mradermacher/Nidum-gemma-3-27B-it-Uncensored-i1-GGUF,mradermacher,Nidum-gemma-3-27B-it-Uncensored-i1-GGUF,nidum-gemma-3-27b-it-uncensored,gemma,nidum/nidum-gemma-3-27b-it-uncensored,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-03-17 02:20:57+00:00,2025-07-10 21:57:24+00:00,,3009,2
mradermacher/DeepSeek-R1-Distill-Qwen-32B-Uncensored-GGUF,mradermacher,DeepSeek-R1-Distill-Qwen-32B-Uncensored-GGUF,deepseek-r1-distill-qwen-32b-uncensored,qwen,nicoboss/deepseek-r1-distill-qwen-32b-uncensored,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-01-26 02:35:09+00:00,2025-01-26 07:38:41+00:00,,2969,71
bartowski/Llama-3.1-8B-Lexi-Uncensored-V2-GGUF,bartowski,Llama-3.1-8B-Lexi-Uncensored-V2-GGUF,llama-3-1-8b-lexi-uncensored-v2,llama,orenguteng/llama-3.1-8b-lexi-uncensored-v2,True,,gguf,"imatrix,iq2_m,iq3_m,iq3_xs,iq4_xs,q2_k,q2_k_l,q3_k_l,q3_k_m,q3_k_s,q3_k_xl,q4_k_l,q4_k_m,q4_k_s,q5_k_l,q5_k_m,q5_k_s,q6_k,q6_k_l,q8_0",2024-08-10 09:55:06+00:00,2024-08-10 13:41:54+00:00,,2965,17
mradermacher/gemma-3-12b-it-uncensored-GGUF,mradermacher,gemma-3-12b-it-uncensored-GGUF,gemma-3-12b-it-uncensored,gemma,braindao/gemma-3-12b-it-uncensored,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-04-10 20:33:55+00:00,2025-07-11 06:11:35+00:00,,2957,2
mradermacher/Qwen2.5-7B-Instruct-Uncensored-Flux-i1-GGUF,mradermacher,Qwen2.5-7B-Instruct-Uncensored-Flux-i1-GGUF,qwen2-5-7b-instruct-uncensored-flux,qwen,mrkrak3n/qwen2.5-7b-instruct-uncensored-flux,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-02-13 15:32:39+00:00,2025-03-21 01:43:02+00:00,,2890,3
mradermacher/Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-GGUF,mradermacher,Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-GGUF,qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored,qwen,davidau/qwen2.5-qwq-37b-eureka-triple-cubed-abliterated-uncensored,True,,gguf,"iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2025-03-12 07:13:13+00:00,2025-07-11 10:13:02+00:00,,2851,
TheBloke/Wizard-Vicuna-7B-Uncensored-GGUF,TheBloke,Wizard-Vicuna-7B-Uncensored-GGUF,wizard-vicuna-7b-uncensored,wizard,ehartford/wizard-vicuna-7b-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-19 23:07:40+00:00,2023-09-27 12:52:36+00:00,,2753,34
Orion-zhen/Qwen2.5-7B-Instruct-Uncensored,Orion-zhen,Qwen2.5-7B-Instruct-Uncensored,qwen2-5-7b-instruct,qwen,['qwen/qwen2.5-7b-instruct'],True,,safetensors,,2024-09-26 04:07:52+00:00,2025-04-28 04:17:26+00:00,,2728,20
TheBloke/WizardLM-Uncensored-SuperCOT-StoryTelling-30B-GGUF,TheBloke,WizardLM-Uncensored-SuperCOT-StoryTelling-30B-GGUF,wizardlm-uncensored-supercot-storytelling-30b,wizardlm,monero/wizardlm-uncensored-supercot-storytelling-30b,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-20 02:30:06+00:00,2023-09-27 12:53:32+00:00,,2713,30
bartowski/Phi-3.5-mini-instruct_Uncensored-GGUF,bartowski,Phi-3.5-mini-instruct_Uncensored-GGUF,phi-3-5-mini-instruct-uncensored,phi,sicariussicariistuff/phi-3.5-mini-instruct_uncensored,True,,gguf,"imatrix,iq2_m,iq3_m,iq3_xs,iq4_xs,q2_k,q2_k_l,q3_k_l,q3_k_m,q3_k_s,q3_k_xl,q4_k_l,q4_k_m,q4_k_s,q5_k_l,q5_k_m,q5_k_s,q6_k,q6_k_l,q8_0",2024-08-22 02:48:33+00:00,2024-08-22 03:04:56+00:00,,2696,43
LWDCLS/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF-IQ-Imatrix-Request,LWDCLS,DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF-IQ-Imatrix-Request,darkidol-llama-3-1-8b-instruct-1-2-uncensored,llama,['aifeifei798/darkidol-llama-3.1-8b-instruct-1.2-uncensored'],True,,gguf,"bf16,imatrix,iq3_m,iq3_xxs,iq4_xs,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k,q8_0",2024-07-28 06:59:41+00:00,2024-12-12 20:41:06+00:00,,2621,61
mradermacher/Dirty-Shirley-Writer-v01-Uncensored-i1-GGUF,mradermacher,Dirty-Shirley-Writer-v01-Uncensored-i1-GGUF,dirty-shirley-writer-v01-uncensored,dirty,mantis2024/dirty-shirley-writer-v01-uncensored,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_nl,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-03-22 08:29:05+00:00,2025-07-11 08:19:08+00:00,,2508,2
TheBloke/WizardLM-13B-Uncensored-GGUF,TheBloke,WizardLM-13B-Uncensored-GGUF,wizardlm-13b-uncensored,wizardlm,ehartford/wizardlm-13b-uncensored,True,,gguf,"q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_0,q5_k_m,q5_k_s,q6_k,q8_0",2023-09-19 23:07:29+00:00,2023-09-27 12:52:34+00:00,,2460,16
mradermacher/Qwen3-33B-A3B-Stranger-Thoughts-IPONDER-Abliterated-Uncensored-i1-GGUF,mradermacher,Qwen3-33B-A3B-Stranger-Thoughts-IPONDER-Abliterated-Uncensored-i1-GGUF,qwen3-33b-a3b-stranger-thoughts-iponder-abliterated-uncensored,qwen,davidau/qwen3-33b-a3b-stranger-thoughts-iponder-abliterated-uncensored,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_xs,q2_k,q2_k_s,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_1,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2025-06-21 19:23:21+00:00,2025-07-11 00:38:59+00:00,,2330,
mradermacher/Llama-3.2-1B-Instruct-Uncensored-i1-GGUF,mradermacher,Llama-3.2-1B-Instruct-Uncensored-i1-GGUF,llama-3-2-1b-instruct-uncensored,llama,nicoboss/llama-3.2-1b-instruct-uncensored,True,,gguf,"imatrix,iq1_m,iq1_s,iq2_m,iq2_s,iq2_xs,iq2_xxs,iq3_m,iq3_s,iq3_xs,iq3_xxs,iq4_xs,q2_k,q3_k_l,q3_k_m,q3_k_s,q4_0,q4_k_m,q4_k_s,q5_k_m,q5_k_s,q6_k",2024-10-05 01:38:16+00:00,2024-10-11 18:52:12+00:00,,2291,6
