canonical_model_key,packaging,repos,downloads
codellama-7b-instruct-hf,safetensors,2,17
codestral-22b-v0-1-abliterated-v3,gguf,2,500
codestral-22b-v0-1-abliterated-v3-f32-codestral-22b-v0-1-abliterated-v3-f32-00001-of-00003,gguf,1,67
codestral-22b-v0-1-abliterated-v3-k,gguf,1,60
codestral-22b-v0-1-abliterated-v3-xs,gguf,1,19
codet5p-220m,bin,1,13
collective-v0-1-chinese-roleplay-8b,gguf,2,236
compliance-prealpha-roleplay-k-l,gguf,1,2
content-model,gguf,1,11
control-8b-v1-1,safetensors,1,6
control-8b-v1-1-abliteration,gguf,2,956
control-nanuq-8b,safetensors,1,2
crazy-eddy-gemma-2-9b-uncensored,gguf,1,26
cutelemonlili-qwen2-5-7b-instruct-math-training-sdft-response-qwen2-5-7b-no-filtering,gguf,1,0
cybersecurity-baronllm-offensive-security-llm-k,gguf,1,268
cydonia-22b-v1,safetensors,1,6
cydonia-22b-v1-2,safetensors,1,6
cydonia-24b-v2-1,bin,1,0
cydonia-24b-v2-1,safetensors,1,47
dan-qwen3-1-7b,gguf,1,387
danube2-1-8b-wizardlm-evol-v2-unfiltered,gguf,1,537
daredevil-8b-abliterated,bin,1,41
daredevil-8b-abliterated,gguf,7,864
daredevil-8b-abliterated,safetensors,2,43
daredevil-8b-abliterated-neo-v1-d-au-xs-imat13,gguf,1,56
daredevil-aura-8b-uncensored-oas-abliterated,gguf,3,416
dark-hermes3-llama3-2-3b-abliterated,gguf,1,9
darkauraunholy-uncensored-oas-8b,gguf,3,555
darkdaredevilaura-abliterated-uncensored-oas-8b,gguf,3,559
darkest-muse-v1-lorablated-v2,safetensors,1,28
darkidol-1-2-8b-instruct-uncensored,gguf,2,360
darkidol-8b-uncensored-1048k,gguf,2,284
darkidol-llama-3-1-13-3b-instruct-1-2-uncensored,gguf,2,844
darkidol-llama-3-1-8b-00001-of-00010,gguf,1,3
darkidol-llama-3-1-8b-instruct-1-0-uncensored,gguf,6,2022
darkidol-llama-3-1-8b-instruct-1-0-uncensored-k,gguf,1,44
darkidol-llama-3-1-8b-instruct-1-0-uncensored-k-l,gguf,1,799
darkidol-llama-3-1-8b-instruct-1-0-uncensored-silly,gguf,1,5
darkidol-llama-3-1-8b-instruct-1-0-uncensored-xs,gguf,1,74
darkidol-llama-3-1-8b-instruct-1-0-uncensored-xxs-imat,gguf,1,175
darkidol-llama-3-1-8b-instruct-1-1-uncensored,gguf,3,266
darkidol-llama-3-1-8b-instruct-1-1-uncensored-xs,gguf,1,48
darkidol-llama-3-1-8b-instruct-1-1-uncensored-xxs-imat,gguf,1,149
darkidol-llama-3-1-8b-instruct-1-2-uncensored,gguf,12,8724
darkidol-llama-3-1-8b-instruct-1-2-uncensored,safetensors,1,9
darkidol-llama-3-1-8b-instruct-1-2-uncensored-k-l,gguf,2,20025
darkidol-llama-3-1-8b-instruct-1-2-uncensored-xs,gguf,1,111
darkidol-longwriter-8b-uncensored-1048k,gguf,2,187
darkidol-longwriter-v13-8b-uncensored-1048k,gguf,1,166
darkidol-longwriter-v2-8b-uncensored-1048k,gguf,2,873
darkneuraldaredevil-8b-abliterated,gguf,3,316
darkunholydaredevil-8b-abliterated,gguf,3,120
darkunholydaredevil-abliterated-8b,gguf,3,248
datarus-r1-14b-preview-abliterated,gguf,2,887
davidau-l3-dark-mistress-the-guilty-pen-uncensored-8b,gguf,2,442
davidau-qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored-h-novel,gguf,4,420
davidau-qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored-h-novel-v2,gguf,1,8
de-aligned-llama-3-2-1b-gretel,none,1,0
deberta-v3-base,bin,1,8
deberta-v3-base-prompt-injection-v2,bin,1,11
decoder-model-merged,onnx,2,28
deep-ignorance-unfiltered,gguf,1,209
deep-reasoning-llama-3-2-instruct-uncensored-3b,gguf,8,684
deepcoder-14b-preview,safetensors,1,0
deephermes-3-llama-3-3b-preview,safetensors,1,5
deephermes-3-llama-3-3b-preview-abliterated,gguf,3,4567
deephermes-3-llama-3-8b-preview,pt,1,27
deephermes-3-llama-3-8b-preview,safetensors,5,74
deephermes-3-llama-3-8b-preview-abliterated,gguf,10,837
deephermes-3-llama-3-8b-preview-uncensored-delmat,gguf,8,728
deepscaler-1-5b-preview,safetensors,1,4
deepscaler-1-5b-preview-abliterated,gguf,11,375
deepscaler-1-5b-preview-abliterated-0-pure,gguf,1,204
deepseek-coder-7b-instruct-v1-5,bin,2,44
deepseek-freedomintelligence-medical-o1-reasoning-sft,gguf,1,64
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,gguf,12,4603
deepseek-qwen-1-5b-batch-mix-open-r1-grpo-deepscaler-acc-seq-end-mask-aligned-2,none,1,0
deepseek-qwen-1-5b-batch-mix-open-r1-grpo-deepscaler-acc-seq-end-mask-aligned-mu-8-constant-lr-2,none,1,0
deepseek-qwen-7b-batch-mix-open-r1-grpo-deepscaler-acc-seq-end-mask-thin-aligned-mu-8,none,1,0
deepseek-r1-0528-qwen3-8b,safetensors,3,2056
deepseek-r1-0528-qwen3-8b-abliterated,gguf,16,1627
deepseek-r1-0528-qwen3-8b-abliterated,safetensors,3,943
deepseek-r1-distill-llama-70b,bin,2,4
deepseek-r1-distill-llama-70b,pt,2,0
deepseek-r1-distill-llama-70b,safetensors,3,1564
deepseek-r1-distill-llama-70b-abliterated,bin,2,0
deepseek-r1-distill-llama-70b-abliterated,gguf,5,7172
deepseek-r1-distill-llama-70b-abliterated,pt,1,2
deepseek-r1-distill-llama-70b-abliterated,safetensors,4,544
deepseek-r1-distill-llama-70b-uncensored,gguf,2,1060
deepseek-r1-distill-llama-70b-uncensored-v2,bin,2,3
deepseek-r1-distill-llama-70b-uncensored-v2,gguf,2,670
deepseek-r1-distill-llama-70b-uncensored-v2-k,gguf,1,11
deepseek-r1-distill-llama-70b-uncensored-v2-k-l,gguf,1,17
deepseek-r1-distill-llama-70b-uncensored-v2-k-m,gguf,2,225
deepseek-r1-distill-llama-70b-uncensored-v2-k-s,gguf,2,33
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased,bin,1,4
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased,gguf,2,581
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased,pt,1,0
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased-reasoner,gguf,2,2125
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased-reasoner,pt,1,0
deepseek-r1-distill-llama-70b-uncensored-v2-xs,gguf,1,13
deepseek-r1-distill-llama-8b,bin,1,5
deepseek-r1-distill-llama-8b,gguf,1,2771
deepseek-r1-distill-llama-8b,pt,1,0
deepseek-r1-distill-llama-8b,safetensors,4,2847
deepseek-r1-distill-llama-8b-abliterate,gguf,6,1471
deepseek-r1-distill-llama-8b-abliterated,bin,1,0
deepseek-r1-distill-llama-8b-abliterated,gguf,25,6160
deepseek-r1-distill-llama-8b-abliterated,safetensors,5,307
deepseek-r1-distill-llama-8b-abliterated-superscaled,gguf,1,3
deepseek-r1-distill-llama-8b-enkrypt-aligned,gguf,1,24
deepseek-r1-distill-llama-8b-uncensored,gguf,2,1163
deepseek-r1-distill-llama-8b-unsloth-bnb,bin,1,0
deepseek-r1-distill-llama-8b-unsloth-bnb,pt,2,5
deepseek-r1-distill-qwen-1-5b,bin,5,143
deepseek-r1-distill-qwen-1-5b,gguf,2,116
deepseek-r1-distill-qwen-1-5b,none,1,0
deepseek-r1-distill-qwen-1-5b,pt,2,18
deepseek-r1-distill-qwen-1-5b,safetensors,5,1416
deepseek-r1-distill-qwen-1-5b-abliterated,gguf,8,459
deepseek-r1-distill-qwen-1-5b-abliterated-dpo,gguf,2,539
deepseek-r1-distill-qwen-1-5b-fully-uncensored,gguf,3,1853
deepseek-r1-distill-qwen-1-5b-grpo,none,1,0
deepseek-r1-distill-qwen-1-5b-uncensored,gguf,12,1901
deepseek-r1-distill-qwen-14b,bin,1,2
deepseek-r1-distill-qwen-14b,gguf,1,1709
deepseek-r1-distill-qwen-14b,pt,1,0
deepseek-r1-distill-qwen-14b,safetensors,3,2406
deepseek-r1-distill-qwen-14b-abliterated,bin,1,0
deepseek-r1-distill-qwen-14b-abliterated,gguf,5,1793
deepseek-r1-distill-qwen-14b-abliterated,safetensors,1,129
deepseek-r1-distill-qwen-14b-abliterated-v2,gguf,21,3275
deepseek-r1-distill-qwen-14b-abliterated-v2,safetensors,4,208
deepseek-r1-distill-qwen-14b-abliterated-v2-remap,gguf,2,7340
deepseek-r1-distill-qwen-14b-blunt-uncensored,gguf,1,99
deepseek-r1-distill-qwen-14b-blunt-uncensored-blunt,gguf,2,882
deepseek-r1-distill-qwen-14b-blunt-uncensored-blunt-reflective,gguf,1,67
deepseek-r1-distill-qwen-14b-blunt-uncensored-reflective,gguf,1,69
deepseek-r1-distill-qwen-14b-blunt-uncensored-reflective-direct-target,gguf,1,68
deepseek-r1-distill-qwen-14b-orpo-uncensored,gguf,2,2858
deepseek-r1-distill-qwen-14b-uncensored,bin,1,4
deepseek-r1-distill-qwen-14b-uncensored,gguf,11,6280
deepseek-r1-distill-qwen-14b-uncensored,pt,2,0
deepseek-r1-distill-qwen-14b-uncensored-reasoner,gguf,2,578
deepseek-r1-distill-qwen-14b-unsloth-bnb,safetensors,1,4
deepseek-r1-distill-qwen-32b,bin,2,2
deepseek-r1-distill-qwen-32b,pt,1,0
deepseek-r1-distill-qwen-32b,safetensors,2,1584
deepseek-r1-distill-qwen-32b-abliterated,bin,1,0
deepseek-r1-distill-qwen-32b-abliterated,gguf,25,17565
deepseek-r1-distill-qwen-32b-abliterated,none,1,1
deepseek-r1-distill-qwen-32b-abliterated,safetensors,9,1038
deepseek-r1-distill-qwen-32b-blunt-uncensored,gguf,1,182
deepseek-r1-distill-qwen-32b-uncensored,gguf,4,4641
deepseek-r1-distill-qwen-32b-uncensored,pt,2,0
deepseek-r1-distill-qwen-32b-uncensored-k,gguf,2,109
deepseek-r1-distill-qwen-32b-uncensored-k-l,gguf,1,5
deepseek-r1-distill-qwen-32b-uncensored-k-m,gguf,3,91
deepseek-r1-distill-qwen-32b-uncensored-k-s,gguf,2,51
deepseek-r1-distill-qwen-7b,bin,1,4
deepseek-r1-distill-qwen-7b,gguf,1,243
deepseek-r1-distill-qwen-7b,pt,1,0
deepseek-r1-distill-qwen-7b,safetensors,8,1160
deepseek-r1-distill-qwen-7b-abliterated,gguf,12,1612
deepseek-r1-distill-qwen-7b-abliterated,safetensors,1,88
deepseek-r1-distill-qwen-7b-abliterated-v2,gguf,16,1738
deepseek-r1-distill-qwen-7b-japanese-aligned-1,gguf,1,191
deepseek-r1-distill-qwen-7b-japanese-aligned-1-5,gguf,1,203
deepseek-r1-distill-qwen-7b-orpo-uncensored,gguf,2,1812
deepseek-r1-distill-qwen-7b-tq2,gguf,1,98
deepseek-r1-distill-qwen-7b-uncensored,bin,1,4
deepseek-r1-distill-qwen-7b-uncensored,gguf,9,29081
deepseek-r1-distill-qwen-7b-uncensored,pt,1,0
deepseek-r1-distill-qwen-7b-uncensored-personality-br,gguf,1,1342
deepseek-r1-distill-qwen-7b-uncensored-personality-br-k-m,bin,1,194
deepseek-r1-distill-qwen-7b-uncensored-reasoner,gguf,3,835
deepseek-r1-distill-qwen-7b-unsloth-bnb,pt,1,3
deepseek-r1-distill-qwen-7b-unsloth-bnb,safetensors,1,3
deepseek-r1-qwen3-8b-abliterated,gguf,2,11650
deepseek-uncensored-lore,gguf,2,1101
deepseek-v2-grand-horror-smb-r1-distill-llama-3-1-uncensored-16-5b,gguf,2,721
deepseek-v2-lite-chat,bin,1,4
deepseek-v2-lite-chat,pt,1,0
deepseek-v2-lite-chat-uncensored,bin,1,4
deepseek-v2-lite-chat-uncensored,gguf,4,1242
deepseek-v2-lite-chat-uncensored,pt,1,0
deepseek-v2-lite-chat-uncensored-unbiased,bin,1,0
deepseek-v2-lite-chat-uncensored-unbiased,gguf,3,689
deepseek-v2-lite-chat-uncensored-unbiased,pt,1,0
deepseek-v2-lite-chat-uncensored-unbiased-reasoner,gguf,2,1928
deepseek-v3,safetensors,2,152
deepseek-v3-abliterated,gguf,2,0
deepseekcoder-33b-codeqwen-align-subset,gguf,1,434
deepseekr1-distill-uncensored-l3-8b-7e1,pt,1,2
deepseekr1-distill-uncensored-l3-8b-8e2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-alt-v1,gguf,2,311
deepseekr1-distill-uncensored-l3-8b-alt-v1,pt,1,3
deepseekr1-distill-uncensored-l3-8b-alt-v2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v0-1e2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v0-2e2,pt,1,4
deepseekr1-distill-uncensored-l3-8b-v0-3e1,pt,1,3
deepseekr1-distill-uncensored-l3-8b-v0-4e1,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v0-5e2,pt,1,3
deepseekr1-distill-uncensored-l3-8b-v0-6e2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v0-9e2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v1-2e2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v1-3e2,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v1-4e1,pt,1,2
deepseekr1-distill-uncensored-l3-8b-v1e2,pt,2,4
deepthought-8b-abliterated,gguf,4,410
deepthought-8b-llama-v0-01-alpha,pt,1,12
deneb-v1-3-8b-roleplay,gguf,2,420
devquasar-r1-uncensored-llama-8b,gguf,3,1353
devsdocode-llama-3-8b-uncensored,gguf,1,318
devstral-small-2505,pt,1,3
devstral-small-2505-abliterated,gguf,2,1146
dia-1-6b,none,1,0
dippy-roleplay-1738983257-0504203,gguf,1,45
dippy-roleplay-1739489801-3003354,gguf,1,30
dippy-roleplay-1739660923-4509044,gguf,1,47
dippy-roleplay-1748214048-297799,gguf,1,115
dippy-roleplay-llama-v1-41,none,1,0
dippy-roleplay-llama-v1-7-0-12,gguf,1,58
dippy-roleplay-llama-v18,gguf,1,35
dippy-roleplay-llama-v2-0-4-7,gguf,1,42
dippy-roleplay-llama-v2-1-4-7,gguf,1,32
dippy-roleplay-llama-v2-8,gguf,1,57
dippy-roleplay-llama-v3-1-0-10,gguf,1,42
dippy-roleplay-llama-v3-2-0-19,gguf,1,36
dippy-roleplay-lm-8-5-v1,gguf,2,323
dirty-muse-writer-v01-uncensored-erotica-nsfw,gguf,5,23839
dirty-shirley-quill-v1-gemma-2-ifable-9b-uncensored-slerp,gguf,1,160
dirty-shirley-v1-9b-uncensored-ties,gguf,1,300
dirty-shirley-writer-v0-abliterated,gguf,4,4020
dirty-shirley-writer-v01-uncensored,gguf,5,2980
dirty-shirley-writer-v2-9b-uncensored,gguf,2,481
dirty-shirley-writer-v4-9b-uncensored,gguf,2,1056
distilbert-base-cased,bin,1,301
distilbert-base-uncased,bin,4,86
distilroberta-base,bin,1,0
doctor-kunou-72b-abliterated,gguf,2,6299
dogge-llama-3-70b-instruct-uncensored-lora-f16-k-m,gguf,1,62
dolllikeness-japanese-v10,safetensors,1,0
dolphin-2-9-2-phi-3-medium-abliterated,gguf,7,2502
dolphin-2-9-2-phi-3-medium-abliterated,pt,5,17
dolphin-2-9-2-phi-3-medium-abliterated,safetensors,1,2
dolphin-2-9-2-phi-3-medium-abliterated-xs,gguf,1,37
dolphin-2-9-3-mistral-nemo-12b,safetensors,1,19
dolphin-2-9-4-llama3-1-8b,gguf,1,63
dolphin-2-9-llama3-8b,bin,1,8
dolphin-2-9-llama3-8b,gguf,1,3461
dolphin-2-9-llama3-8b,pt,2,10
dolphin-mistral-24b-venice-edition,pt,1,30381
dolphin3-0-llama3-1-1b-abliterated,gguf,3,217
dolphin3-0-llama3-1-1b-abliterated,safetensors,1,6
dolphin3-0-llama3-1-8b,safetensors,1,22
dolphin3-0-llama3-1-8b-abliterated,gguf,8,546
dolphin3-0-llama3-2-1b,gguf,1,58
dolphin3-0-llama3-2-1b,safetensors,1,4
dolphin3-0-llama3-2-3b,pt,1,4
dolphin3-0-qwen2-5-0-5b,gguf,1,61
dolphin3-0-r1-mistral-24b,safetensors,2,18
dolphin3-0-r1-mistral-24b-abliterated,gguf,11,614
doujinshi-14b-roleplay,gguf,3,0
dp-roleplay,gguf,1,32
dp-roleplay-v3,gguf,2,358
dpo-roleplay,pt,2,6
dracarys2-72b-instruct,safetensors,1,6
drakidol-roleplayer-1,gguf,2,1864
drakidol-roleplayer-1,safetensors,2,37
dria-agent-a-3b,safetensors,1,3
dria-agent-a-3b-abliterated,gguf,10,513
dria-agent-a-7b,safetensors,1,12
dria-agent-a-7b-abliterated,gguf,9,579
drmedra4b-152656-abliterated,gguf,2,551
drmedra4b-179916-abliterated,gguf,2,0
drmedra4b-abliterated,gguf,2,798
ds-v2-grnd-hrrr-smb-r1-l3-1-uncn-16-5b-d-au-xs,gguf,1,491
dsir-pile-1m-filtered-no-github-or-dm-mathematics,none,1,0
dukunlm-13b-v1-0-uncensored,gguf,2,968
early-unlearning-unfiltered-ga-1-in-209-ga-lr-scale-0-001-gclip-1,none,2,123
ehartford-wizardlm-1-0-uncensored-llama2-13b-k-s,gguf,1,24
eidolon-v3-14b-abliterated,gguf,3,28
electra-base-discriminator,bin,1,7
elita-0-1-distilled-r1-abliterated,gguf,4,1192
elysium-anime-v2-0-7-cafe-instagram-unofficial-test-epoch-9-140k-images-0-7-suisecovaried-0-3-weighted-sum-merged-0-3-weighted-sum-merged,pt,1,0
embeddings,bin,3,1793
esm2-t6-8m-ur50d,bin,1,14
eva-abliterated-qwen2-5-7b,bin,1,12
eva-abliterated-qwen2-5-7b,gguf,8,848
eva-abliterated-ties-qwen2-5-1-5b,bin,1,7
eva-abliterated-ties-qwen2-5-1-5b,gguf,8,393
eva-abliterated-ties-qwen2-5-14b,gguf,2,495
eva-abliterated-ties-qwen2-5-72b,gguf,2,382
eva-abliterated-ties-qwen2-5-72b,safetensors,1,1
eva-llama-3-33-70b-v0-1,safetensors,4,19
eva-qwen2-5-1-5b-v0,safetensors,1,6
eva-qwen2-5-14b-v0-2,safetensors,1,8
eva-qwen2-5-32b-v0-2,safetensors,2,14
eva-qwen2-5-72b-v0-2,safetensors,1,6
eva-qwen2-5-7b-v0-1,safetensors,1,6
evolved-llama3-elyza-uncensored-8b,gguf,2,439
evolved-llama3-elyza-uncensored-8b-xs,gguf,1,118
exaone-3-5-2-4b-instruct,safetensors,1,896
exaone-3-5-2-4b-instruct-abliterated,gguf,9,943
exaone-3-5-2-4b-instruct-abliterated,safetensors,1,2
exaone-3-5-32b-instruct,safetensors,1,2163
exaone-3-5-32b-instruct-abliterated,gguf,3,1193
exaone-3-5-32b-instruct-abliterated,safetensors,3,46
exaone-3-5-7-8b-instruct,safetensors,1,68
exaone-3-5-7-8b-instruct-abliterated,gguf,6,602
exaone-4-0-1-2b,safetensors,1,59
exaone-4-0-32b,safetensors,1,76
exaone-deep-2-4b,safetensors,1,49
exaone-deep-7-8b,safetensors,1,262
excalibur-7b-dpo,gguf,1,27
excalibur-7b-dpo,safetensors,1,10
faiss-index,bin,1,0
falcon-h1-34b-instruct-abliterated,gguf,2,630
falcon3-10b-instruct,pt,1,13
falcon3-10b-instruct-abliterated,gguf,11,947
falcon3-10b-instruct-abliterated,pt,3,29
falcon3-10b-instruct-abliterated,safetensors,1,2
falcon3-1b-instruct,pt,1,11
falcon3-1b-instruct-abliterated,gguf,10,499
falcon3-3b-instruct,pt,1,669
falcon3-3b-instruct-abliterated,gguf,10,639
falcon3-7b-instruct,pt,1,12
falcon3-7b-instruct-abliterated,gguf,12,1143
falcon3-7b-instruct-abliterated,safetensors,1,2
falcon3-jessi-v0-4-7b-slerp,pt,1,4
falcon7b-train-sendswap,none,1,0
falcon7bintent,bin,1,0
fastthink-0-5b-tiny,safetensors,1,7
fastthink-0-5b-tiny-abliterated,gguf,1,1186
fastycall-model,none,1,0
filter-non-expertuser,none,1,15
fine-tuned-bge-reranker,none,1,0
fino1-8b,safetensors,1,4
fino1-8b-uncensored-delmat,gguf,2,320
fireball-r1-llama-3-1-8b,bin,1,4
fireball-r1-llama-3-1-8b-freedom-9000,gguf,2,201
first,none,1,0
fluentlylm-prinum,safetensors,1,5
fluentlylm-prinum-abliterated,gguf,2,1249
