family,packaging,repos,downloads
judas,gguf,5,4071
jupiter,gguf,1,27
jupiter,safetensors,1,10
kanana,gguf,3,2408
kanana,safetensors,2,21
kat,gguf,2,1131
kimi,gguf,2,110
l2,gguf,3,689
l3,gguf,23,2548
l3,safetensors,10,76
l3.1,gguf,120,16625
l3.1,none,1,1
l3.1,safetensors,3,469
l3.2,gguf,13,24045
l3.2,safetensors,3,2448
l3.3,gguf,2,2017
light,gguf,2,154
light,safetensors,1,7
lingshu,gguf,2,776
lix,gguf,2,224
lix,pt,1,3
llama,bin,114,6306
llama,gguf,956,375175
llama,none,3,0
llama,pt,174,49923
llama,safetensors,254,33322
llava,bin,1,4
llm,pt,1,1
loxa,gguf,2,345
lucie,gguf,2,404
lucie,safetensors,2,5
luna,gguf,1,57
luna,safetensors,1,7
magistral,gguf,5,4533
magistral,none,1,0
magistral,pt,1,366
magnum,safetensors,1,7
marco,gguf,21,1087
marco,safetensors,3,20
mdeberta,bin,1,303
mdeberta,safetensors,1,45
medgpt,gguf,2,325
medguide,gguf,2,395
medra4b,gguf,3,578
medra4b,safetensors,1,107
medran,bin,1,13
medran,gguf,3,1191
medran,safetensors,1,200
medraq,gguf,2,240
megatron,gguf,2,564
megatron,safetensors,1,3
megrez,gguf,2,204
megrez,safetensors,3,27
memgpt,gguf,2,548
merged,gguf,1,10
mfannv0.22.1'],safetensors,1,11
mfannv0.25'],safetensors,1,9
mimo,safetensors,2,4
mindlink,gguf,2,21798
minimedra,gguf,2,223
ministral,gguf,2,420
mistral,bin,9,205
mistral,gguf,101,23170
mistral,pt,15,41307
mistral,safetensors,18,2117
mixtral,pt,1,2
model,bin,43,226
model,gguf,29,5722
model,none,1,0
model,pt,58,1724
model,safetensors,197,2496
monah,gguf,3,261
monah,pt,3,17
monah,safetensors,1,6
moonlight,safetensors,2,16
motherearth,gguf,5,799
mrroboto,pt,1,3
mt5,bin,1,3
nemo,gguf,2,603
nemotron,gguf,8,690
nemotron,safetensors,2,49
neuraldaredevil,bin,2,19
neuraldaredevil,gguf,21,9707
neuraldaredevil,pt,1,0
neuraldaredevil,safetensors,9,136
neuraldarkdevil,gguf,2,83
nexus,gguf,3,533
nexus,safetensors,1,8
none,bin,355,104346
none,gguf,416,117693
none,none,254,3765
none,onnx,8,34
none,pt,169,25080
none,safetensors,607,142149
nord,gguf,2,506
noromaid,none,1,0
nvila,pt,1,24
nyx,gguf,2,270
opencoder,gguf,3,712
opencoder,safetensors,1,7
openhands,gguf,11,328
openhands,safetensors,1,5
openhermes,safetensors,1,11
openthinker,gguf,22,1526
openthinker,safetensors,3,12
openthinker2,bin,1,3
openthinker2,gguf,3,635
openthinker2,pt,1,0
orca,bin,1,6
orca,gguf,3,642
orca,safetensors,2,7
original,pt,14,48
original,safetensors,5,14
pankajmathur,safetensors,1,6
peach,gguf,13,2599
peach,pt,7,20
peach,safetensors,4,40
phi,bin,33,54
phi,gguf,116,23621
phi,none,2,0
phi,pt,21,195
phi,safetensors,31,9163
pixtral,pt,1,16
procyon,gguf,2,133
prompt,bin,1,4
pythia,bin,4,23
pythia,gguf,1,228
pythia,none,2,0
q2.5,safetensors,1,2
q3,gguf,1,47
qrwkv6,gguf,2,301
qrwkv6,safetensors,1,4
qvq,gguf,2,395
qvq,pt,2,10
qvq,safetensors,2,18
qwen,bin,90,8009
qwen,gguf,1133,465099
qwen,none,10,22
qwen,pt,60,7383
qwen,safetensors,439,113321
qwq,gguf,52,12482
qwq,none,2,0
qwq,pt,6,0
qwq,safetensors,34,3795
reka,gguf,1,6959
reverb,gguf,2,222
reverb,safetensors,1,3
roleplai,gguf,2,110
roleplay,gguf,4,5742
roleplaylake,bin,1,26
roleplaylake,gguf,9,982
roleplayv2e6,gguf,3,58
rombo,gguf,5,3427
s1,gguf,3,728
s1,safetensors,1,4
s1.1,gguf,14,351
s1.1,safetensors,1,3
sailor2,gguf,3,551
sailor2,safetensors,1,6
samantha,gguf,4,458
scifi,gguf,2,678
seallms,gguf,6,1260
seallms,safetensors,4,44
seed,gguf,3,2830
seed,safetensors,2,12
sentence,bin,1,2
sex,bin,3,300
sex,gguf,6,9001
sex,safetensors,1,69
sexygpt,gguf,5,2626
sexygpt,pt,1,25
sigil,gguf,1,82
sky,gguf,17,20261
sky,safetensors,3,11
smallthinker,bin,1,54
smallthinker,gguf,4,356
smollm,gguf,2,148
smollm,safetensors,1,24
smollm2,gguf,20,1604
smollm2,pt,1,0
smollm2,safetensors,4,133
smollm3,pt,2,64
smollumi,bin,1,24
solar,gguf,9,10380
solar,pt,4,49
solar,safetensors,3,24
stablelm,bin,1,6
stablelm,gguf,3,1398
stablelm,pt,1,7
storytime,bin,1,4
swallowmaid,gguf,4,843
szilviab,gguf,15,897
t,gguf,8,226
t5,bin,1,17
teuken,pt,1,8
tifa,gguf,1,0
tigers,gguf,3,510
tigers,safetensors,1,3
tiny,safetensors,1,2
tinyr1,gguf,2,264
tinyr1,safetensors,5,43
triangulum,gguf,1,217
unaligned,gguf,4,170
uncensored,gguf,16,3554
uncensored,pt,6,79
uncensored,safetensors,9,123
uncensoredlm,gguf,2,64
uncensoredlm,safetensors,1,40
unfilteredai,gguf,2,741
unfilteredai,safetensors,1,9
uwu,gguf,9,219
uwu,safetensors,1,9
vanilla,gguf,3,593
vecteus,gguf,3,32
vecteus,onnx,1,0
vicuna,bin,2,0
vicuna,gguf,2,303
vicuzard,gguf,1,186
vmlu,gguf,1,86
vmlu,safetensors,2,13
westlake,gguf,2,54
westlake,safetensors,2,35
wizard,bin,1,163
wizard,gguf,14,26354
wizard,pt,7,10027
wizard,safetensors,3,99
wizardlm,bin,1,95
wizardlm,gguf,46,22636
wizardlm,pt,8,3974
wizardlm,safetensors,7,116
wizardvicuna,gguf,1,137
writing,bin,1,1
writing,gguf,6,5501
x,gguf,1,35
xlm,bin,1,10
xortron22b,gguf,5,348
yi,gguf,12,2706
yi,pt,4,20043
yi,safetensors,4,55
zephyr,bin,1,2
zeus,gguf,11,3092
zeus,safetensors,3,18
